Ticker,Year,Sector,Class,Class_Label,Annual_Price_Change_Pct,Performance_Label,Revenue,Revenue Growth,Revenue_Growth_Label,Gross Profit,Operating Income,Net Income,EPS,EPS Diluted,Gross Margin,EBIT Margin,EBITDA Margin,Net Profit Margin,Profit_Margin_Tier,Free Cash Flow margin,Operating Cash Flow,Free Cash Flow,Capital Expenditure,Total assets,Total liabilities,Total shareholders equity,Cash and short-term investments,Total debt,Net Debt,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,priceToBookRatio,Enterprise Value over EBITDA,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,ROIC,Debt to Equity,Debt to Assets,Leverage_Bucket,currentRatio,quickRatio,interestCoverage,Revenue per Share,Net Income per Share,Book Value per Share,Dividend per Share,dividendYield,Gross Profit Growth,Net Income Growth,EPS Growth,Operating Cash Flow growth,Free Cash Flow growth
AAPL,2014,Technology,0,Negative/Flat Return,-2.0822684663317723,Neutral (-5% to 5%),182795000000.0,0.0695,Moderate (5-15%),70537000000.0,52503000000.0,39510000000.0,6.49,6.45,0.3859,0.2926,0.336,0.2161,High (≥20%),0.273,59713000000.0,49900000000.0,-9813000000.0,231839000000.0,120292000000.0,111547000000.0,25077000000.0,35295000000.0,10218000000.0,599445365370.0,609663365370.0,15.4253,3.2793,5.7792,9.9247,1.5369,0.3542,0.2193,0.2193,0.3164,0.1522,Conservative (<0.5x),1.08,0.8242340184087801,0.0,30.0374,6.4924,18.33,1.811,0.019827227212434,0.0969,0.0668,0.1346,0.1127,0.1191
AAPL,2015,Technology,1,Positive Return,12.384342354071732,Outperformer (5-20%),233715000000.0,0.2786,High Growth (>15%),93626000000.0,71230000000.0,53394000000.0,9.28,9.22,0.4006,0.3103,0.358,0.2285,High (≥20%),0.2986,81266000000.0,69778000000.0,-11488000000.0,290345000000.0,170990000000.0,119355000000.0,41601000000.0,64328000000.0,22727000000.0,641214061680.0,663941061680.0,12.1164,2.7436,5.7541,7.9256,1.7092,0.4474,0.2485,0.2485,0.539,0.2216,Moderate (0.5-1x),1.109,0.89249472770128,0.0,40.6219,9.2804,20.745,1.98,0.019076061495778,0.3273,0.3514,0.4299,0.3609,0.3984
AAPL,2016,Technology,1,Positive Return,48.0425080310413,Strong Outperformer (>20%),215639000000.0,-0.0773,Declining,84263000000.0,60024000000.0,45687000000.0,8.35,8.31,0.3908,0.2846,0.3329999999999999,0.2119,High (≥20%),0.2481,66231000000.0,53497000000.0,-12734000000.0,321686000000.0,193437000000.0,128249000000.0,67155000000.0,87032000000.0,19877000000.0,608247445840.0,628124445840.0,13.5186,2.8207,5.0641,8.7389,0.8326,0.3562,0.2005,0.2005,0.6786,0.2705,Moderate (0.5-1x),1.3530000000000002,1.2208439865327,0.0,39.4162,8.351,23.442,2.18,0.02056172203627,-0.1,-0.1443,-0.1002,-0.185,-0.2333
AAPL,2017,Technology,0,Negative/Flat Return,-7.054338116735654,Underperformer (-5% to -20%),229234000000.0,0.063,Moderate (5-15%),88186000000.0,61344000000.0,48351000000.0,9.27,9.21,0.3847,0.2796,0.324,0.2109,High (≥20%),0.2259,64225000000.0,51774000000.0,-12451000000.0,375319000000.0,241272000000.0,134047000000.0,74181000000.0,115680000000.0,41499000000.0,794463718680.0,835962718680.0,16.5922,3.4657,5.9086,11.2594,0.7847,0.3607,0.1752,0.1752,0.863,0.3082,Moderate (0.5-1x),1.276,1.089670085504,0.0,43.9378,9.2675,25.693,2.4,0.016341413728755,0.0466,0.0583,0.1102,-0.0303,-0.0322
AAPL,2018,Technology,1,Positive Return,88.74246462864862,Strong Outperformer (>20%),265595000000.0,0.1586,High Growth (>15%),101839000000.0,70898000000.0,59531000000.0,12.01,11.91,0.3834,0.2745,0.316,0.2241,High (≥20%),0.2414,77434000000.0,64121000000.0,-13313000000.0,365725000000.0,258578000000.0,107147000000.0,66301000000.0,114483000000.0,48182000000.0,1097648982760.0,1145830982760.0,18.9226,4.1328,10.1842,13.6724,1.0497,0.5556,0.217,0.217,1.0685,0.313,Elevated (1-2x),1.133,0.99453976140569,0.0,53.5973,12.0134,21.622,2.72,0.012318046710734,0.1548,0.2312,0.2956,0.2057,0.2385
ABBV,2014,Healthcare,0,Negative/Flat Return,-7.139291009770816,Underperformer (-5% to -20%),19960000000.0,0.0623,Moderate (5-15%),15534000000.0,3411000000.0,1774000000.0,1.11,1.1,0.7783,0.1383,0.178,0.0889,Low (0-10%),0.1471,3549000000.0,2937000000.0,-612000000.0,27513000000.0,25771000000.0,1742000000.0,8374000000.0,14977000000.0,6603000000.0,104263286532.64,110866286532.64,58.955,5.2236,0.0,31.2652,0.2473,1.0184,0.175,0.175,8.5976,0.5444,High (>2x),1.411,1.0628456069516,7.0588,12.5141,1.1122,1.092,1.66,0.030214602535732,0.0933,-0.5703,-0.5698,-0.4337,-0.4915
ABBV,2015,Healthcare,1,Positive Return,12.898390591943537,Outperformer (5-20%),22859000000.0,0.1452,Moderate (5-15%),18359000000.0,7537000000.0,5144000000.0,3.15,3.13,0.8031,0.3207,0.357,0.225,High (≥20%),0.3064,7535000000.0,7003000000.0,-532000000.0,53050000000.0,49105000000.0,3945000000.0,8407000000.0,31671000000.0,23264000000.0,96842407363.08,120106407363.08,18.8063,4.2365,0.0,14.7063,0.6442,1.3039,0.1302,0.1302,8.0281,0.597,High (>2x),1.4980000000000002,1.2058931521938998,10.6866,14.0671,3.1655,2.428,2.02,0.039264043540892,0.1819,1.8997,1.8378,1.1231,1.3844
ABBV,2016,Healthcare,1,Positive Return,60.61350429219141,Strong Outperformer (>20%),25638000000.0,0.1216,Moderate (5-15%),19806000000.0,9340000000.0,5953000000.0,3.65,3.63,0.7725,0.3452,0.392,0.2322,High (≥20%),0.2559,7041000000.0,6562000000.0,-479000000.0,66099000000.0,61463000000.0,4636000000.0,6423000000.0,36842000000.0,30419000000.0,101422429338.92,131841429338.92,17.0986,3.9559,0.0,13.1342,0.6607,1.2841,0.1161,0.1161,7.9469,0.5574,High (>2x),1.655,1.1431346488089,9.1699,15.8064,3.6702,2.858,2.28,0.0405584140938609,0.0788,0.1573,0.1587,-0.0656,-0.063
ABBV,2017,Healthcare,0,Negative/Flat Return,-2.667431890190079,Neutral (-5% to 5%),28216000000.0,0.1006,Moderate (5-15%),21174000000.0,9545000000.0,5309000000.0,3.31,3.3,0.7504,0.3094,0.363,0.1882,Medium (10-20%),0.3342,9960000000.0,9431000000.0,-529000000.0,70786000000.0,65689000000.0,5097000000.0,9789000000.0,37368000000.0,27579000000.0,157104650713.4,184683650713.4,29.7311,5.5679,0.0,18.0496,0.7189,1.0416,0.1175,0.1175,7.3314,0.5279,High (>2x),1.275,0.8939967550026999,8.6962,17.6792,3.3264,3.194,2.56,0.027866364364312,0.0691,-0.1082,-0.0932,0.4146,0.4372
ABBV,2018,Healthcare,1,Positive Return,4.834143746663969,Neutral (-5% to 5%),32753000000.0,0.1608,High Growth (>15%),25035000000.0,6383000000.0,5687000000.0,3.67,3.66,0.7644,0.1936,0.247,0.1736,Medium (10-20%),0.3905,13427000000.0,12789000000.0,-638000000.0,59352000000.0,67798000000.0,-8446000000.0,8061000000.0,40310000000.0,32249000000.0,138673703186.13,170922703186.13,25.1199,4.2339,0.0,21.0859,2.1966,-0.6733,0.1014,0.1014,-4.7727,0.6792,Conservative (<0.5x),0.983,0.77991762863275,5.5428,21.2544,3.6905,-5.481,3.59,0.040286748280692,0.1823,0.0712,0.1088,0.3481,0.3561
